MAC,IP
00:0c:29:77:3b:af,192.168.0.4
00:0c:29:77:3b:af,fe80::535:7b17:55d2:b0ca
00:50:56:c0:00:02,169.254.92.128
00:50:56:c0:00:02,fe80::cbea:9338:c8bb:5317
ca:01:07:3b:00:08,192.168.0.1
ca:01:07:3b:00:08,2001:a:b:c::1
ca:01:07:3b:00:08,fe80::c801:7ff:fe3b:8
